search_string,search_engine,title,media,timestamp,link,page_number
tata cars,bing,Tata Motors shares dived 30% in 6 months. What's next: A bounce-back or further drop?,Business Today on MSN,4 days ago,https://www.msn.com/en-in/money/topstories/tata-motors-shares-dived-30-in-6-months-whats-next-a-bounce-back-or-further-drop/ar-AA1ywOAK?ocid=BingNewsVerp,2
tata cars,bing,Ratan Tata’s aide Shantanu Naidu moves to new role in Tata Motors,The Times of India,5 days ago,https://timesofindia.indiatimes.com/business/india-business/ratan-tatas-aide-shantanu-naidu-moves-to-new-role-in-tata-motors/articleshow/117927024.cms,2
tata cars,bing,"Shantanu Naidu becomes General Manager, Head - Strategic Initiatives at Tata Motors",Mint on MSN,6 days ago,https://www.msn.com/en-in/money/general/shantanu-naidu-becomes-general-manager-head-strategic-initiatives-at-tata-motors/ar-AA1yn2yi?ocid=BingNewsVerp,2
tata cars,bing,"Ratan Tata's millennial aide gets top position at Tata Motors, shares update: 'It comes full circle now'",Moneycontrol,6 days ago,https://www.moneycontrol.com/news/trends/ratan-tata-s-millennial-aide-gets-top-position-at-tata-motors-shares-update-it-comes-full-circle-now-12930871.html,2
tata cars,bing,"Ratan Tata’s best friend gets emotional after securing top role at Tata Motors, says, ‘’it comes full…’’",India.com on MSN,5 days ago,https://www.msn.com/en-in/money/executive-leadership-and-management/ratan-tata-s-best-friend-gets-emotional-after-securing-top-role-at-tata-motors-says-it-comes-full/ar-AA1yrPnX?ocid=BingNewsVerp,2
tata cars,bing,"Good news for Mukesh Ambani, Reliance tops list of companies with the highest…, Larsen & Toubro, Tata Motors rank…",India.com on MSN,1 day ago,https://www.msn.com/en-in/money/topstories/good-news-for-mukesh-ambani-reliance-tops-list-of-companies-with-the-highest-larsen-toubro-tata-motors-rank/ar-AA1yGgLu?ocid=BingNewsVerp,2
tata cars,bing,"After iPhone 16, this company will now deliver Skoda cars in 10 minutes, no connection with Mukesh Ambani, Ratan Tata",India.com on MSN,1 day ago,https://www.msn.com/en-in/technology/tech-companies/after-iphone-16-this-company-will-now-deliver-skoda-cars-in-10-minutes-no-connection-with-mukesh-ambani-ratan-tata/ar-AA1yGoWa?ocid=BingNewsVerp,2
tata power,bing,Why Tata Power has stayed clear of the carbon credit market,Mint,5 days ago,https://www.livemint.com/companies/news/policy-intervention-must-for-carbon-credit-trading-tata-powers-ceo-praveer-sinha-buyers-11738751673323.html,2
tata power,bing,"Tata Power shares jump 3% after Q3 profit rises 10% YoY to Rs 1,188 crore",The Economic Times on MSN,6 days ago,https://www.msn.com/en-in/money/markets/tata-power-shares-jump-3-after-q3-profit-rises-10-yoy-to-rs-1188-crore/ar-AA1yqDp4?ocid=BingNewsVerp,2
tata power,bing,"Tata Power Q3 Results: Net profit rises 10.3% YoY to ₹1,187 crore, revenue up 5% YoY",Mint,6 days ago,https://www.livemint.com/market/stock-market-news/tata-power-q3-results-net-profit-rises-10-3-yoy-to-rs-1-456-crore-revenue-up-5-yoy/amp-11738664989560.html,2
tata power,bing,Tata Power Eyes Entry into Modular Nuclear Reactors Amid Sectoral Reforms- Report,MSN,5 days ago,https://www.msn.com/en-in/money/general/tata-power-eyes-entry-into-modular-nuclear-reactors-amid-sectoral-reforms-report/ar-AA1yrMRD?ocid=BingNewsVerp,2
